Num_Clusters,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score,Inertia
2,0.4349672,1785.109260851848,0.9050641123925833,211829.25
3,0.28366658,1462.971090729139,1.7261721762339117,182410.4375
4,0.28376114,1287.9953913826132,1.493475119866719,163707.03125
5,0.35697126,1166.7473162145582,1.3287242902054084,150491.21875
6,0.3246284,1076.4009257184591,1.3081338794838018,140394.09375
7,0.31703347,1129.079581232772,1.2260645684538396,124174.03125
8,0.23244059,1107.2206472292069,1.2676431451963883,114864.703125
9,0.22736843,1182.4218521200203,1.2207237950456997,101540.828125
10,0.22933032,1193.858964956274,1.159956221206318,93386.8125
